,Address,Rentel_price,No_of_bed,No_of_bathroom,Area,Pets,Deposit,City,State code,Country,Washer/Dryer,Air_Conditioning,Parking,Fireplace,Dishwasher,Hardwood_floor,Roofdeck,Storage,Sno
0,"Austin, TX",$ 29340,       7        Bed     ,       7        Bath     ,"       3,550        Sq Ft     ",No,, TX,, USA,No,Yes,Yes,No,Yes,No,No,No,0
1,801 West 5th Street,$ 2620,       1        Bed     ,       1        Bath     ,,Yes,,,, USA,No,No,No,No,No,No,No,No,1
2,"Austin, Indian Oaks, TX, US",$ 1460,       3        Bed     ,       2        Bath     ,"       1,352        Sq Ft     ",Yes,, Indian Oaks, TX, US,No,No,No,No,No,No,No,No,2
3,5505 Avenue H,$ 3350,       3        Bed     ,       1        Bath     ,"       1,300        Sq Ft     ",Yes,1600,,, USA,No,Yes,No,No,Yes,Yes,No,Yes,3
4,"Seaholm Residences, 222 West Avenue, Austin, TX 78701, USA",$ 7000,       2        Bed     ,       2        Bath     ,"       1,360        Sq Ft     ",,, Austin, TX 78701, USA,No,No,No,No,No,No,No,No,4
5,"7716 Earp Way, Williamson County, TX 78729, USA",$ 2400,       3        Bed     ,       2.5        Bath     ,"       1,867        Sq Ft     ",,, Williamson County, TX 78729, USA,No,No,No,No,No,No,No,No,5
6,"8032 Izetta Lane, Travis County, TX 78744, USA",$ 2495,       3        Bed     ,       2.5        Bath     ,"       1,907        Sq Ft     ",,, Travis County, TX 78744, USA,No,No,No,No,No,No,No,No,6
7,"Austin, TX, US",$ 868,       1        Bed     ,       1        Bath     ,       675        Sq Ft     ,Yes,, TX, US, USA,No,No,No,No,No,No,No,No,7
8,"Austin, TX",$ 10200,       2        Bed     ,       2        Bath     ,       850        Sq Ft     ,No,, TX,, USA,No,Yes,Yes,No,Yes,No,No,No,8
9,"Austin, TX",$ 4740,       1        Bed     ,       1        Bath     ,       825        Sq Ft     ,Yes,, TX,, USA,No,Yes,Yes,No,Yes,No,No,No,9
10,"1601 Faro Drive, Austin, TX 78741, USA",$ 1600,       1        Bed     ,       1.5        Bath     ,       954        Sq Ft     ,,, Austin, TX 78741, USA,No,No,No,No,No,No,No,No,10
11,"7002 Colony Loop Drive, Austin, TX 78724, USA",$ 1950,       3        Bed     ,       2        Bath     ,"       1,080        Sq Ft     ",,, Austin, TX 78724, USA,No,No,No,No,No,No,No,No,11
12,"4517 Avenue F, Austin, TX 78751, USA",$ 6600,       5        Bed     ,       3        Bath     ,"       2,216        Sq Ft     ",,, Austin, TX 78751, USA,No,No,No,No,No,No,No,No,12
13,"2802 Warren Street, Austin, TX 78703, USA",$ 5150,       3        Bed     ,       3        Bath     ,"       2,000        Sq Ft     ",,, Austin, TX 78703, USA,No,No,No,No,No,No,No,No,13
14,"6004 Woodview Avenue, Austin, TX 78756, USA",$ 4000,       2        Bed     ,       1        Bath     ,"       1,013        Sq Ft     ",,, Austin, TX 78756, USA,No,No,No,No,No,No,No,No,14
15,"Austin, TX",$ 4710,       3        Bed     ,       2        Bath     ,"       1,260        Sq Ft     ",No,, TX,, USA,No,Yes,Yes,Yes,Yes,No,No,No,15
16,"2100 San Gabriel Street, Austin, TX 78705, USA",$ 1750,       2        Bed     ,       1.5        Bath     ,"       1,089        Sq Ft     ",,, Austin, TX 78705, USA,No,No,No,No,No,No,No,No,16
17,"499 Paul Thomas Drive, Williamson County, TX 78717, USA",$ 2650,       3        Bed     ,       2.5        Bath     ,"       2,262        Sq Ft     ",,, Williamson County, TX 78717, USA,No,No,No,No,No,No,No,No,17
18,"814 North Bluff Drive, Austin, TX 78745, USA",$ 2750,       2        Bed     ,       2.5        Bath     ,"       1,570        Sq Ft     ",,, Austin, TX 78745, USA,No,No,No,No,No,No,No,No,18
19,"808 West 32nd Street, Austin, TX 78705, USA",$ 4100,              Studio     ,,,,, Austin, TX 78705, USA,No,No,No,No,No,No,No,No,19
20,"Austin, TX",$ 6600,       4        Bed     ,       2        Bath     ,,Yes,, TX,, USA,No,Yes,Yes,No,Yes,No,No,No,20
21,"Denali Parkway, Austin, TX 78726, USA",$ 2750,       3        Bed     ,       2.5        Bath     ,"       2,065        Sq Ft     ",,, Austin, TX 78726, USA,No,No,No,No,No,No,No,No,21
22,11618 Sherwood Forest,$ 3200,       3        Bed     ,       2        Bath     ,"       2,147        Sq Ft     ",Yes,2000,,, USA,No,Yes,No,No,Yes,Yes,No,Yes,22
23,"Austin, TX",$ 3720,       2        Bed     ,       1        Bath     ,,Yes,, TX,, USA,No,Yes,Yes,Yes,Yes,No,No,No,23
24,"Austin, TX",$ 13650,       4        Bed     ,       4        Bath     ,"       3,100        Sq Ft     ",No,, TX,, USA,No,Yes,No,No,Yes,No,No,No,24
25,"Austin, TX",$ 4980,       1        Bed     ,       1        Bath     ,,,, TX,, USA,No,Yes,Yes,No,No,No,No,No,25
26,"Pflugerville, TX",$ 5910,       2        Bed     ,       2        Bath     ,,Yes,, TX,, USA,No,Yes,Yes,No,Yes,No,No,No,26
27,"Winnsboro Loop, Round Rock, TX 78664, USA",$ 2195,       3        Bed     ,       2.5        Bath     ,"       1,762        Sq Ft     ",,, Round Rock, TX 78664, USA,No,No,No,No,No,No,No,No,27
28,"1910 Woodland Avenue, Unit B",$ 2300,       2        Bed     ,       2        Bath     ,"       1,286        Sq Ft     ",Yes,2300, Unit B,, USA,No,No,No,No,Yes,Yes,No,Yes,28
29,"5913 Sunshine Drive, Austin, TX 78751, USA",$ 3000,       3        Bed     ,       1        Bath     ,"       1,154        Sq Ft     ",,, Austin, TX 78751, USA,No,No,No,No,No,No,No,No,29
30,"10703 Morado Circle, Austin, TX 78759, USA",$ 3800,       3        Bed     ,       3.5        Bath     ,"       2,042        Sq Ft     ",,, Austin, TX 78759, USA,No,No,No,No,No,No,No,No,30
31,"1173 Webberville Road, Austin, TX 78721, USA",$ 2595,              Studio     ,,,,, Austin, TX 78721, USA,No,No,No,No,No,No,No,No,31
32,"Round Rock, East McNeil Road, Round Rock, TX 78680, USA",$ 2790,       1        Bed     ,       1        Bath     ,       645        Sq Ft     ,No,, Round Rock, TX 78680, USA,No,Yes,No,No,No,No,No,No,32
33,"Austin, TX",$ 24870,              Studio     ,,,,, TX,, USA,No,Yes,Yes,No,No,No,No,No,33
34,"2305 Barton Village Circle, Austin, TX 78704, USA",$ 1695,              Studio     ,,,,, Austin, TX 78704, USA,No,No,No,No,No,No,No,No,34
35,"11509 Swearingen Drive, Austin, TX 78758, USA",$ 2295,       3        Bed     ,       2        Bath     ,"       1,633        Sq Ft     ",,, Austin, TX 78758, USA,No,No,No,No,No,No,No,No,35
36,"10300 Morado Cove, Austin, TX 78759, USA",$ 3500,       3        Bed     ,       2.5        Bath     ,"       2,325        Sq Ft     ",,, Austin, TX 78759, USA,No,No,No,No,No,No,No,No,36
37,"507 Sabine Street, Austin, TX 78701, USA",$ 2000,       1        Bed     ,       1        Bath     ,       753        Sq Ft     ,,, Austin, TX 78701, USA,No,No,No,No,No,No,No,No,37
38,"Austin, TX",$ 41190,       4        Bed     ,       4        Bath     ,"       1,608        Sq Ft     ",Yes,, TX,, USA,No,Yes,Yes,No,No,No,No,No,38
39,"9517 Eagle Knoll Drive, Austin, TX 78717, USA",$ 2550,       4        Bed     ,       2.5        Bath     ,"       2,687        Sq Ft     ",,, Austin, TX 78717, USA,No,No,No,No,No,No,No,No,39
40,"Ed Bluestein Blvd, Unit 2210",$ 1533,       1        Bed     ,       1        Bath     ,       828        Sq Ft     ,Yes,, Unit 2210,, USA,No,No,No,No,Yes,Yes,No,Yes,40
41,"3213 Hampton Road, Austin, TX 78705, USA",$ 4250,              Studio     ,,,,, Austin, TX 78705, USA,No,No,No,No,No,No,No,No,41
42,"12323 Patron Drive, Austin, TX 78758, USA",$ 1595,              Studio     ,,,,, Austin, TX 78758, USA,No,No,No,No,No,No,No,No,42
43,"508 Meadowcreek Circle, Round Rock, TX 78664, USA",$ 2100,       3        Bed     ,       2.5        Bath     ,"       1,712        Sq Ft     ",,, Round Rock, TX 78664, USA,No,No,No,No,No,No,No,No,43
44,"Austin, TX",$ 3930,       2        Bed     ,       1        Bath     ,       950        Sq Ft     ,No,, TX,, USA,No,Yes,Yes,No,Yes,No,No,No,44
45,"3402 Clawson Road, Austin, TX 78704, USA",$ 5500,       3        Bed     ,       2        Bath     ,"       1,561        Sq Ft     ",,, Austin, TX 78704, USA,No,No,No,No,No,No,No,No,45
46,"1064 Greenbriar Loop, Round Rock, TX 78664, USA",$ 1780,       3        Bed     ,       2.5        Bath     ,"       1,310        Sq Ft     ",,, Round Rock, TX 78664, USA,No,No,No,No,No,No,No,No,46
47,"2931 East 12th Street, Austin, TX 78702, USA",$ 1450,       1        Bed     ,       1        Bath     ,       651        Sq Ft     ,,, Austin, TX 78702, USA,No,No,No,No,No,No,No,No,47
48,"11740 Malamute Road, Manchaca, Travis County, TX 78748, USA",$ 2100,       3        Bed     ,       2.5        Bath     ,"       1,565        Sq Ft     ",,, Travis County, TX 78748, USA,No,No,No,No,No,No,No,No,48
49,"2507 Rogge Lane, Austin, TX 78723, USA",$ 3400,       5        Bed     ,       2        Bath     ,"       2,077        Sq Ft     ",,, Austin, TX 78723, USA,No,No,No,No,No,No,No,No,49
50,"9700 Carson Creek Boulevard, Austin, TX 78617, USA",$ 1575,              Studio     ,,,,, Austin, TX 78617, USA,No,No,No,No,No,No,No,No,50
51,"Austin, TX",$ 1020,       1        Bed     ,       1        Bath     ,,,, TX,, USA,No,Yes,No,No,Yes,No,No,No,51
52,"Fifth & West Residence, 501 West 5th Street, Austin, TX 78701, USA",$ 3100,       1        Bed     ,       1        Bath     ,       652        Sq Ft     ,,, Austin, TX 78701, USA,No,No,No,No,No,No,No,No,52
53,"10410 Broken Shoe Trail, Austin, TX 78750, USA",$ 2295,       3        Bed     ,       2        Bath     ,"       1,378        Sq Ft     ",,, Austin, TX 78750, USA,No,No,No,No,No,No,No,No,53
54,"Austin, TX",$ 3480,       1        Bed     ,       1        Bath     ,       650        Sq Ft     ,No,, TX,, USA,No,Yes,Yes,Yes,Yes,No,No,No,54
55,"1706 Alison Ann Court, Pflugerville, TX 78660, USA",$ 2750,       4        Bed     ,       2.5        Bath     ,"       2,733        Sq Ft     ",,, Pflugerville, TX 78660, USA,No,No,No,No,No,No,No,No,55
56,"Austin, TX",$ 4770,       3        Bed     ,       2        Bath     ,"       1,402        Sq Ft     ",Yes,, TX,, USA,No,Yes,Yes,No,Yes,No,No,No,56
57,"Austin, TX",$ 2400,       2        Bed     ,       1        Bath     ,       829        Sq Ft     ,Yes,, TX,, USA,No,Yes,Yes,No,Yes,No,No,No,57
58,13104 Bennington Lane,$ 3000,       4        Bed     ,       2        Bath     ,"       2,200        Sq Ft     ",Yes,1000,,, USA,No,Yes,No,No,Yes,Yes,No,No,58
59,"9004 Sanger Drive, Austin, TX 78748, USA",$ 1875,              Studio     ,,,,, Austin, TX 78748, USA,No,No,No,No,No,No,No,No,59
60,"Austin, TX",$ 10590,       3        Bed     ,       2        Bath     ,,Yes,, TX,, USA,No,Yes,Yes,No,Yes,No,No,No,60
61,"12315 Maypole Bend, Austin, TX 78717, USA",$ 2500,       4        Bed     ,       2.5        Bath     ,"       1,953        Sq Ft     ",,, Austin, TX 78717, USA,No,No,No,No,No,No,No,No,61
62,"1100 Brass Street, Austin, TX 78702, USA",$ 4000,       3        Bed     ,       3.5        Bath     ,"       1,706        Sq Ft     ",,, Austin, TX 78702, USA,No,No,No,No,No,No,No,No,62
63,"11213 Ranch Road 2222, Austin, TX 78730, USA",$ 1850,       2        Bed     ,       2        Bath     ,"       1,541        Sq Ft     ",,, Austin, TX 78730, USA,No,No,No,No,No,No,No,No,63
64,"673 Noatak Trail, Pflugerville, TX 78660, USA",$ 2950,       4        Bed     ,       2        Bath     ,"       2,258        Sq Ft     ",,, Pflugerville, TX 78660, USA,No,No,No,No,No,No,No,No,64
65,"912 South 5th Street, Austin, TX 78704, USA",$ 13000,       6        Bed     ,       4        Bath     ,"       3,095        Sq Ft     ",,, Austin, TX 78704, USA,No,No,No,No,No,No,No,No,65
66,"Round Rock, TX",$ 22050,       5        Bed     ,       5        Bath     ,,,, TX,, USA,No,Yes,Yes,Yes,Yes,No,No,No,66
67,"Austin, TX",$ 30000,       6        Bed     ,       4        Bath     ,"       6,000        Sq Ft     ",Yes,, TX,, USA,No,Yes,Yes,Yes,Yes,No,No,No,67
68,"Austin, TX",$ 22290,       4        Bed     ,       3        Bath     ,,Yes,, TX,, USA,No,Yes,No,No,No,No,No,No,68
69,"5328 Balcones Drive, Austin, TX 78731, USA",$ 1775,       2        Bed     ,       2        Bath     ,"       1,206        Sq Ft     ",,, Austin, TX 78731, USA,No,No,No,No,No,No,No,No,69
70,"5700 Avenue D, Austin, TX 78752, USA",$ 3950,       3        Bed     ,       2        Bath     ,"       1,600        Sq Ft     ",,, Austin, TX 78752, USA,No,No,No,No,No,No,No,No,70
71,"10004 Parkfield Drive, Austin, TX 78758, USA",$ 2495,       4        Bed     ,       2        Bath     ,"       1,923        Sq Ft     ",,, Austin, TX 78758, USA,No,No,No,No,No,No,No,No,71
72,"720 Harris Avenue, Austin, TX 78705, USA",$ 4500,              Studio     ,,,,, Austin, TX 78705, USA,No,No,No,No,No,No,No,No,72
73,"6903 Skynook Drive, Austin, TX 78745, USA",$ 2250,       3        Bed     ,       2        Bath     ,"       1,328        Sq Ft     ",,, Austin, TX 78745, USA,No,No,No,No,No,No,No,No,73
74,"2210 Onion Creek Parkway, Austin, TX 78747, USA",$ 975,       1        Bed     ,       1        Bath     ,,,, Austin, TX 78747, USA,No,No,No,No,No,No,No,No,74
75,"360 Condominiums, 360 Nueces Street, Austin, TX 78701, USA",$ 3200,       1        Bed     ,       1        Bath     ,       770        Sq Ft     ,,, Austin, TX 78701, USA,No,No,No,No,No,No,No,No,75
76,"West Highland Mall Boulevard, Austin, TX 78752, USA",$ 4105,       1        Bed     ,       689        Sq Ft     ,,,, Austin, TX 78752, USA,Yes,Yes,Yes,No,Yes,No,No,No,76
77,"Wells Branch, TX, US",$ 1069,       2        Bed     ,       2        Bath     ,"       1,027        Sq Ft     ",Yes,, TX, US, USA,No,No,No,No,No,No,No,No,77
78,"1203 West 49th Street, Austin, TX 78756, USA",$ 1305,       1        Bed     ,       1        Bath     ,       700        Sq Ft     ,,, Austin, TX 78756, USA,No,No,No,No,No,No,No,No,78
79,"Austin, TX",$ 18510,       3        Bed     ,       2        Bath     ,,,, TX,, USA,No,Yes,Yes,No,Yes,No,No,No,79
80,"10610 Berthound Drive, Austin, TX 78758, USA",$ 2300,       4        Bed     ,       2        Bath     ,"       1,503        Sq Ft     ",,, Austin, TX 78758, USA,No,No,No,No,No,No,No,No,80
81,"8410 Lyndon Lane, Austin, TX 78729, USA",$ 1450,              Studio     ,,,,, Austin, TX 78729, USA,No,No,No,No,No,No,No,No,81
82,"6920 Bryn Mawr Drive, Austin, TX 78723, USA",$ 3990,       3        Bed     ,       1.5        Bath     ,"       1,202        Sq Ft     ",,, Austin, TX 78723, USA,No,No,No,No,No,No,No,No,82
83,"9207 Shady Oaks Drive, Austin, TX 78729, USA",$ 2150,       4        Bed     ,       2        Bath     ,"       1,744        Sq Ft     ",,, Austin, TX 78729, USA,No,No,No,No,No,No,No,No,83
84,"Austin, TX",$ 5250,       2        Bed     ,       2        Bath     ,,,, TX,, USA,No,Yes,Yes,No,No,No,No,No,84
85,"4423 Diane Drive, Austin, TX 78745, USA",$ 3800,       4        Bed     ,       3        Bath     ,"       1,678        Sq Ft     ",,, Austin, TX 78745, USA,No,No,No,No,No,No,No,No,85
86,"Austin, TX",$ 3300,       3        Bed     ,       2        Bath     ,"       1,239        Sq Ft     ",No,, TX,, USA,No,Yes,Yes,No,Yes,No,No,No,86
87,"Austin, TX",$ 3030,              Studio     ,       1        Bath     ,       453        Sq Ft     ,Yes,, TX,, USA,No,Yes,No,No,Yes,No,No,No,87
88,"6036 Mesa Verde Circle, Austin, TX 78749, USA",$ 2595,       3        Bed     ,       2.5        Bath     ,"       2,058        Sq Ft     ",,, Austin, TX 78749, USA,No,No,No,No,No,No,No,No,88
89,"Austin, TX",$ 27780,       6        Bed     ,       4        Bath     ,"       3,200        Sq Ft     ",Yes,, TX,, USA,No,Yes,Yes,No,Yes,No,No,No,89
